,canonical_smiles
234,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1
266,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
161,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
105,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
169,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
107,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
24,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1
57,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1
96,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
79,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
99,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1
26,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
127,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
263,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
203,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
211,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
90,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
174,Cn1c(=O)c2c(ncn2C)n(C)c1=O
260,Cn1c(=O)c2[nH]cnc2n(C)c1=O
188,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2
55,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
206,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
275,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
172,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
276,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
135,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
134,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
15,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
294,CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1
0,CC(=O)Nc1ccc(O)cc1
5,CC(C)Cc1ccc(C(C)C(=O)O)cc1
13,CC(=O)Oc1ccccc1C(=O)O
16,CN[C@@H](C)[C@@H](O)c1ccccc1
27,Nc1ccc(O)c(C(=O)O)c1
36,CC(N)C(O)c1ccccc1
38,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
48,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
53,CCN(CC)C(C)C(=O)c1ccccc1
56,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
73,COc1ccccc1OCC(O)COC(N)=O
75,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
77,Cc1cccc(C)c1OCC(C)N
78,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
88,C=CCOc1ccccc1OCC(O)CNC(C)C
92,CC(C)(N)Cc1ccccc1
111,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
122,COCCc1ccc(OCC(O)CNC(C)C)cc1
145,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
155,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
180,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
189,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1
219,C#CCN(C)[C@H](C)Cc1ccccc1
252,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl
267,O=C(O)CCCc1ccccc1
314,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
119,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
186,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12
