,canonical_smiles
130,CC(=O)Oc1ccccc1C(=O)O
168,CC[N+](C)(C)c1cccc(O)c1
172,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
189,CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1
197,CCN(CC)CC(=O)Nc1c(C)cccc1C
199,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
204,CCOC(=O)CCCCCCCCC(C)c1ccccc1I
212,COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I
229,COc1ccccc1OCC(O)COC(N)=O
252,COc1ccccc1OCC(O)CO
257,CC(=O)Nc1ccc(O)cc1
262,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
266,Nc1ccc(S(N)(=O)=O)cc1
271,CC[N+](C)(C)Cc1ccccc1Br
302,O=C(O)C=Cc1ccccc1
303,Cc1ccc(C(C)C)cc1O
304,COc1ccc(C(=O)O)cc1
308,COc1ccccc1C=CC=O
310,COc1ccc(C(C)=O)c(O)c1
315,COC(=O)C=Cc1ccc(O)cc1
319,COc1cc(C=CC(=O)O)ccc1O
321,O=C(O)C(O)Cc1ccc(O)c(O)c1
322,CCOC(=O)c1cc(O)c(O)c(O)c1
358,CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1
367,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O
652,CCN(N=O)C(C)Cc1cccc(C(F)(F)F)c1
654,C=CC(C)(C=Cc1ccc(O)cc1)CCC=C(C)C
688,CC=Cc1cc(OC)c(OC)cc1OC
689,C=CCc1ccc(OC(C)=O)c(OC)c1
698,O=C(O)c1cc(O)c(O)c(O)c1
701,CNC(C)C(O)c1ccccc1
702,C=CCc1ccc(O)c(OC)c1
716,COc1cc(C=O)ccc1O
724,O=C(O)c1ccccc1O
727,Oc1cccc(O)c1O
731,O=[N+]([O-])c1cccc([N+](=O)[O-])c1
733,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
734,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
736,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl
758,COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
766,CC(=O)Nc1ccc(C=NNC(N)=S)cc1
795,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N
802,CN=C(NC)NCc1ccccc1
804,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
812,CCOc1ccc(NC(=O)CC(C)O)cc1
821,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
