,canonical_smiles
152,C=CCc1ccc(OC)cc1
160,CCCc1ccc(O)c(OC)c1
164,CCCCN(CCCC)c1ccccc1
169,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1
170,CC(C)CC=C(C=O)c1ccccc1
176,CNC(C)C(O)c1ccccc1
177,C=CC(=O)OCc1c(Br)c(Br)c(Br)c(Br)c1Br
182,O=Cc1cc(O)ccc1C=C(CC(=O)O)C(=O)O
197,Clc1ccccc1Cl
198,Cc1ccccc1C
206,Cc1ccc(C)cc1
210,CC(O)=CC(=O)c1cc(C)c(C)c(C)c1C
211,CCc1ccc(CC)c(C(=O)C=C(C)O)c1
212,CC(O)=CC(=O)c1cc(C)ccc1C
215,Nc1ccc(N(CCO)CCO)cc1[N+](=O)[O-]
226,FC(F)(F)c1ccc(Cl)cc1
234,C/C(O)=C(\C)C(=O)c1ccccc1
235,CCCCCC(O)=CC(=O)c1ccccc1
238,CCCCOCC(O)COc1ccccc1
249,Cc1ccc(C)c(O)c1C
251,O=C(O)COc1cc(Cl)c(Cl)cc1Cl
255,C=Cc1ccc(O)c(C=C)c1
257,CN(C)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
259,Nc1ccc(OCCO)c(N)c1
263,Nc1ccc(NCCO)c([N+](=O)[O-])c1
266,Oc1ccccc1
269,Nc1cc([N+](=O)[O-])cc(Cl)c1O
272,O=Cc1cc(O)ccc1Br
277,Cc1ccc(NCCO)cc1O
278,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)O
280,Cc1c(O)cccc1O
281,CCCSc1ccc(N)c([N+](=O)[O-])c1
298,Nc1ccc(Cl)c(Cl)c1
300,O=[N+]([O-])c1ccc(O)cc1[N+](=O)[O-]
306,CCCCCCC=CCCCCCCCc1cccc(O)c1
311,O=C(Cl)c1ccc(F)c(Cl)c1
312,CCOC(=O)CC(=O)c1cc(C)c(C)c(C)c1C
315,C=CCc1ccc(O)c(OC)c1C
316,CC=Cc1ccc(O)c(OC)c1C
317,Nc1cccc(N)c1
328,O=C(C=C(O)C(F)(F)F)c1ccccc1
331,O=[N+]([O-])c1cc(O)ccc1NCCO
332,CCC(C)(C)c1ccc(O)cc1
336,CCOC(=O)c1ccc(CBr)cc1
338,Nc1ccc(O)cc1[N+](=O)[O-]
339,N#CSc1ccc(N)c([N+](=O)[O-])c1
342,CCCCCCCc1ccc(O)cc1
344,Cc1ccc(S(=O)(=O)Cl)cc1
346,Nc1ccc([N+](=O)[O-])cc1N
348,CCCCCCCCC(=O)NCCC(CCC(=O)O)c1ccccc1S(=O)(=O)O
353,CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl
362,C=CCc1cc(OC)c(O)cc1C
366,C=CCc1cc(C)c(O)c(OC)c1
367,CC=Cc1cc(C)c(O)c(OC)c1
376,CCc1cccc(CC)c1N(COC)C(=O)CCl
377,Cc1cc(O)c(C=O)c(O)c1
379,BrCCc1ccccc1
382,CC(C)CC(=O)OCCc1ccccc1
393,Cc1cc(O)c(C=O)c(O)c1Cl
394,ClCc1ccccc1
404,CC=CC(=O)Oc1c(C(C)CCCCCC)cc([N+](=O)[O-])cc1[N+](=O)[O-]
410,CCOC(=O)c1ccc(I)cc1
413,CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl
418,CCC(=O)Nc1ccc(Cl)c(Cl)c1
423,OCCc1ccc(O)c(O)c1
426,CC=Cc1ccc(O)c(OC(C)C)c1
